R[m] ne[m^-3]
2.530000e+000 7.080996e+019 
2.530400e+000 7.079421e+019 
2.530800e+000 7.077846e+019 
2.531200e+000 7.076271e+019 
2.531600e+000 7.074696e+019 
2.532000e+000 7.073121e+019 
2.532400e+000 7.071545e+019 
2.532800e+000 7.069970e+019 
2.533200e+000 7.068395e+019 
2.533600e+000 7.066820e+019 
2.534000e+000 7.065245e+019 
2.534400e+000 7.063670e+019 
2.534800e+000 7.062095e+019 
2.535200e+000 7.060519e+019 
2.535600e+000 7.058944e+019 
2.536000e+000 7.057369e+019 
2.536400e+000 7.055794e+019 
2.536800e+000 7.054219e+019 
2.537200e+000 7.052644e+019 
2.537600e+000 7.051069e+019 
2.538000e+000 7.049493e+019 
2.538400e+000 7.047918e+019 
2.538800e+000 7.046343e+019 
2.539200e+000 7.044768e+019 
2.539600e+000 7.043193e+019 
2.540000e+000 7.041618e+019 
2.540400e+000 7.040043e+019 
2.540800e+000 7.038467e+019 
2.541200e+000 7.036892e+019 
2.541600e+000 7.035317e+019 
2.542000e+000 7.033742e+019 
2.542400e+000 7.032167e+019 
2.542800e+000 7.030592e+019 
2.543200e+000 7.029017e+019 
2.543600e+000 7.027441e+019 
2.544000e+000 7.025866e+019 
2.544400e+000 7.024291e+019 
2.544800e+000 7.022716e+019 
2.545200e+000 7.021141e+019 
2.545600e+000 7.019566e+019 
2.546000e+000 7.017990e+019 
2.546400e+000 7.016415e+019 
2.546800e+000 7.014840e+019 
2.547200e+000 7.013265e+019 
2.547600e+000 7.011690e+019 
2.548000e+000 7.010115e+019 
2.548400e+000 7.008540e+019 
2.548800e+000 7.006964e+019 
2.549200e+000 7.005389e+019 
2.549600e+000 7.003814e+019 
2.550000e+000 7.002239e+019 
2.550400e+000 7.000664e+019 
2.550800e+000 6.999089e+019 
2.551200e+000 6.997514e+019 
2.551600e+000 6.995938e+019 
2.552000e+000 6.994363e+019 
2.552400e+000 6.992788e+019 
2.552800e+000 6.991213e+019 
2.553200e+000 6.989638e+019 
2.553600e+000 6.988063e+019 
2.554000e+000 6.986488e+019 
2.554400e+000 6.984912e+019 
2.554800e+000 6.983337e+019 
2.555200e+000 6.981762e+019 
2.555600e+000 6.980187e+019 
2.556000e+000 6.978612e+019 
2.556400e+000 6.977037e+019 
2.556800e+000 6.975462e+019 
2.557200e+000 6.973886e+019 
2.557600e+000 6.972311e+019 
2.558000e+000 6.970736e+019 
2.558400e+000 6.969161e+019 
2.558800e+000 6.967586e+019 
2.559200e+000 6.966011e+019 
2.559600e+000 6.964435e+019 
2.560000e+000 6.962860e+019 
2.560400e+000 6.961285e+019 
2.560800e+000 6.959710e+019 
2.561200e+000 6.958135e+019 
2.561600e+000 6.956560e+019 
2.562000e+000 6.954985e+019 
2.562400e+000 6.953409e+019 
2.562800e+000 6.951834e+019 
2.563200e+000 6.950259e+019 
2.563600e+000 6.948684e+019 
2.564000e+000 6.947109e+019 
2.564400e+000 6.945534e+019 
2.564800e+000 6.943959e+019 
2.565200e+000 6.942383e+019 
2.565600e+000 6.940808e+019 
2.566000e+000 6.939233e+019 
2.566400e+000 6.937658e+019 
2.566800e+000 6.936083e+019 
2.567200e+000 6.934508e+019 
2.567600e+000 6.932933e+019 
2.568000e+000 6.931357e+019 
2.568400e+000 6.929782e+019 
2.568800e+000 6.928207e+019 
2.569200e+000 6.926632e+019 
2.569600e+000 6.925057e+019 
2.570000e+000 6.923482e+019 
2.570400e+000 6.921907e+019 
2.570800e+000 6.920331e+019 
2.571200e+000 6.918756e+019 
2.571600e+000 6.917181e+019 
2.572000e+000 6.915606e+019 
2.572400e+000 6.914031e+019 
2.572800e+000 6.912456e+019 
2.573200e+000 6.910881e+019 
2.573600e+000 6.909305e+019 
2.574000e+000 6.907730e+019 
2.574400e+000 6.906155e+019 
2.574800e+000 6.904580e+019 
2.575200e+000 6.903005e+019 
2.575600e+000 6.901430e+019 
2.576000e+000 6.899854e+019 
2.576400e+000 6.898279e+019 
2.576800e+000 6.896704e+019 
2.577200e+000 6.895129e+019 
2.577600e+000 6.893554e+019 
2.578000e+000 6.891979e+019 
2.578400e+000 6.890404e+019 
2.578800e+000 6.888828e+019 
2.579200e+000 6.887253e+019 
2.579600e+000 6.885678e+019 
2.580000e+000 6.884103e+019 
2.580400e+000 6.882528e+019 
2.580800e+000 6.880953e+019 
2.581200e+000 6.879378e+019 
2.581600e+000 6.877802e+019 
2.582000e+000 6.876227e+019 
2.582400e+000 6.874652e+019 
2.582800e+000 6.873077e+019 
2.583200e+000 6.871502e+019 
2.583600e+000 6.869927e+019 
2.584000e+000 6.868352e+019 
2.584400e+000 6.866776e+019 
2.584800e+000 6.865201e+019 
2.585200e+000 6.863626e+019 
2.585600e+000 6.862051e+019 
2.586000e+000 6.860476e+019 
2.586400e+000 6.858901e+019 
2.586800e+000 6.857326e+019 
2.587200e+000 6.855750e+019 
