R[m] ne[m]
2.530000e+000 1.062149e+020 
2.530400e+000 1.061913e+020 
2.530800e+000 1.061677e+020 
2.531200e+000 1.061441e+020 
2.531600e+000 1.061204e+020 
2.532000e+000 1.060968e+020 
2.532400e+000 1.060732e+020 
2.532800e+000 1.060496e+020 
2.533200e+000 1.060259e+020 
2.533600e+000 1.060023e+020 
2.534000e+000 1.059787e+020 
2.534400e+000 1.059550e+020 
2.534800e+000 1.059314e+020 
2.535200e+000 1.059078e+020 
2.535600e+000 1.058842e+020 
2.536000e+000 1.058605e+020 
2.536400e+000 1.058369e+020 
2.536800e+000 1.058133e+020 
2.537200e+000 1.057897e+020 
2.537600e+000 1.057660e+020 
2.538000e+000 1.057424e+020 
2.538400e+000 1.057188e+020 
2.538800e+000 1.056951e+020 
2.539200e+000 1.056715e+020 
2.539600e+000 1.056479e+020 
2.540000e+000 1.056243e+020 
2.540400e+000 1.056006e+020 
2.540800e+000 1.055770e+020 
2.541200e+000 1.055534e+020 
2.541600e+000 1.055298e+020 
2.542000e+000 1.055061e+020 
2.542400e+000 1.054825e+020 
2.542800e+000 1.054589e+020 
2.543200e+000 1.054352e+020 
2.543600e+000 1.054116e+020 
2.544000e+000 1.053880e+020 
2.544400e+000 1.053644e+020 
2.544800e+000 1.053407e+020 
2.545200e+000 1.053171e+020 
2.545600e+000 1.052935e+020 
2.546000e+000 1.052699e+020 
2.546400e+000 1.052462e+020 
2.546800e+000 1.052226e+020 
2.547200e+000 1.051990e+020 
2.547600e+000 1.051753e+020 
2.548000e+000 1.051517e+020 
2.548400e+000 1.051281e+020 
2.548800e+000 1.051045e+020 
2.549200e+000 1.050808e+020 
2.549600e+000 1.050572e+020 
2.550000e+000 1.050336e+020 
2.550400e+000 1.050100e+020 
2.550800e+000 1.049863e+020 
2.551200e+000 1.049627e+020 
2.551600e+000 1.049391e+020 
2.552000e+000 1.049154e+020 
2.552400e+000 1.048918e+020 
2.552800e+000 1.048682e+020 
2.553200e+000 1.048446e+020 
2.553600e+000 1.048209e+020 
2.554000e+000 1.047973e+020 
2.554400e+000 1.047737e+020 
2.554800e+000 1.047501e+020 
2.555200e+000 1.047264e+020 
2.555600e+000 1.047028e+020 
2.556000e+000 1.046792e+020 
2.556400e+000 1.046556e+020 
2.556800e+000 1.046319e+020 
2.557200e+000 1.046083e+020 
2.557600e+000 1.045847e+020 
2.558000e+000 1.045610e+020 
2.558400e+000 1.045374e+020 
2.558800e+000 1.045138e+020 
2.559200e+000 1.044902e+020 
2.559600e+000 1.044665e+020 
2.560000e+000 1.044429e+020 
2.560400e+000 1.044193e+020 
2.560800e+000 1.043957e+020 
2.561200e+000 1.043720e+020 
2.561600e+000 1.043484e+020 
2.562000e+000 1.043248e+020 
2.562400e+000 1.043011e+020 
2.562800e+000 1.042775e+020 
2.563200e+000 1.042539e+020 
2.563600e+000 1.042303e+020 
2.564000e+000 1.042066e+020 
2.564400e+000 1.041830e+020 
2.564800e+000 1.041594e+020 
2.565200e+000 1.041358e+020 
2.565600e+000 1.041121e+020 
2.566000e+000 1.040885e+020 
2.566400e+000 1.040649e+020 
2.566800e+000 1.040412e+020 
2.567200e+000 1.040176e+020 
2.567600e+000 1.039940e+020 
2.568000e+000 1.039704e+020 
2.568400e+000 1.039467e+020 
2.568800e+000 1.039231e+020 
2.569200e+000 1.038995e+020 
2.569600e+000 1.038759e+020 
2.570000e+000 1.038522e+020 
2.570400e+000 1.038286e+020 
2.570800e+000 1.038050e+020 
2.571200e+000 1.037813e+020 
2.571600e+000 1.037577e+020 
2.572000e+000 1.037341e+020 
2.572400e+000 1.037105e+020 
2.572800e+000 1.036868e+020 
2.573200e+000 1.036632e+020 
