R[m] ne[m^-3]
2.530000e+000 3.536436e+019 
2.530400e+000 3.535481e+019 
2.530800e+000 3.534525e+019 
2.531200e+000 3.533566e+019 
2.531600e+000 3.532605e+019 
2.532000e+000 3.531642e+019 
2.532400e+000 3.530676e+019 
2.532800e+000 3.529708e+019 
2.533200e+000 3.528738e+019 
2.533600e+000 3.527766e+019 
2.534000e+000 3.526792e+019 
2.534400e+000 3.525815e+019 
2.534800e+000 3.524836e+019 
2.535200e+000 3.523855e+019 
2.535600e+000 3.522871e+019 
2.536000e+000 3.521886e+019 
2.536400e+000 3.520897e+019 
2.536800e+000 3.519907e+019 
2.537200e+000 3.518914e+019 
2.537600e+000 3.517919e+019 
2.538000e+000 3.516921e+019 
2.538400e+000 3.515922e+019 
2.538800e+000 3.514919e+019 
2.539200e+000 3.513915e+019 
2.539600e+000 3.512908e+019 
2.540000e+000 3.511898e+019 
2.540400e+000 3.510886e+019 
2.540800e+000 3.509872e+019 
2.541200e+000 3.508855e+019 
2.541600e+000 3.507836e+019 
2.542000e+000 3.506814e+019 
2.542400e+000 3.505790e+019 
2.542800e+000 3.504764e+019 
2.543200e+000 3.503734e+019 
2.543600e+000 3.502703e+019 
2.544000e+000 3.501669e+019 
2.544400e+000 3.500632e+019 
2.544800e+000 3.499593e+019 
2.545200e+000 3.498551e+019 
2.545600e+000 3.497506e+019 
2.546000e+000 3.496460e+019 
2.546400e+000 3.495410e+019 
2.546800e+000 3.494358e+019 
2.547200e+000 3.493303e+019 
2.547600e+000 3.492246e+019 
2.548000e+000 3.491186e+019 
2.548400e+000 3.490123e+019 
2.548800e+000 3.489058e+019 
2.549200e+000 3.487990e+019 
2.549600e+000 3.486919e+019 
2.550000e+000 3.485846e+019 
2.550400e+000 3.484770e+019 
2.550800e+000 3.483691e+019 
2.551200e+000 3.482609e+019 
2.551600e+000 3.481525e+019 
2.552000e+000 3.480438e+019 
2.552400e+000 3.479348e+019 
2.552800e+000 3.478256e+019 
2.553200e+000 3.477160e+019 
2.553600e+000 3.476062e+019 
2.554000e+000 3.474961e+019 
2.554400e+000 3.473857e+019 
2.554800e+000 3.472751e+019 
2.555200e+000 3.471641e+019 
2.555600e+000 3.470529e+019 
2.556000e+000 3.469414e+019 
2.556400e+000 3.468295e+019 
2.556800e+000 3.467174e+019 
2.557200e+000 3.466050e+019 
2.557600e+000 3.464923e+019 
2.558000e+000 3.463794e+019 
2.558400e+000 3.462661e+019 
2.558800e+000 3.461525e+019 
2.559200e+000 3.460386e+019 
2.559600e+000 3.459245e+019 
2.560000e+000 3.458100e+019 
2.560400e+000 3.456952e+019 
2.560800e+000 3.455801e+019 
2.561200e+000 3.454647e+019 
2.561600e+000 3.453491e+019 
2.562000e+000 3.452331e+019 
2.562400e+000 3.451168e+019 
2.562800e+000 3.450001e+019 
2.563200e+000 3.448832e+019 
2.563600e+000 3.447660e+019 
2.564000e+000 3.446484e+019 
2.564400e+000 3.445305e+019 
2.564800e+000 3.444124e+019 
2.565200e+000 3.442939e+019 
2.565600e+000 3.441750e+019 
2.566000e+000 3.440559e+019 
2.566400e+000 3.439364e+019 
2.566800e+000 3.438166e+019 
2.567200e+000 3.436965e+019 
2.567600e+000 3.435761e+019 
2.568000e+000 3.434553e+019 
2.568400e+000 3.433342e+019 
2.568800e+000 3.432128e+019 
2.569200e+000 3.430910e+019 
2.569600e+000 3.429689e+019 
2.570000e+000 3.428465e+019 
2.570400e+000 3.427238e+019 
2.570800e+000 3.426007e+019 
2.571200e+000 3.424772e+019 
2.571600e+000 3.423534e+019 
2.572000e+000 3.422293e+019 
2.572400e+000 3.421049e+019 
2.572800e+000 3.419800e+019 
2.573200e+000 3.418549e+019 
2.573600e+000 3.417294e+019 
2.574000e+000 3.416035e+019 
