"$K_D1 []","Z(1,1) [] - Freq='0.05GHz'","Z(2,1) [] - Freq='0.05GHz'"
14.17,0.0822866556518267 + 23.4108904083937i,0.0809683645631907 + 3.89170062894306i
48.161052631579,0.240389056737347 + 23.3741182574405i,0.228722147312423 + 3.93264011273044i
82.1521052631579,0.35118394569188 + 23.4776031251712i,0.324892802505598 + 3.96908703712377i
116.143157894737,0.463357383774515 + 23.6688512413005i,0.416500417729781 + 4.04278475125641i
150.134210526316,0.536612089382313 + 23.6541245341414i,0.485560912202664 + 4.0477170436661i
184.125263157895,0.606409528955502 + 23.6895773517489i,0.534389786087447 + 4.04890424576078i
218.116315789474,0.679189407409214 + 23.6611483625637i,0.594600466270947 + 4.03834576763547i
252.107368421053,0.757517715133409 + 23.6942618160663i,0.654026814493866 + 4.04488668505918i
286.098421052632,0.82146784118303 + 23.6829274755946i,0.702830940356679 + 4.02312068921215i
320.089473684211,0.910087446098841 + 23.7727927664999i,0.760660168261897 + 4.0306481627255i
354.08052631579,0.946224638284795 + 23.6224984459267i,0.785951497134867 + 3.97443802790467i
388.071578947368,1.02137466991179 + 23.7023593281158i,0.81720625886079 + 3.99893863373049i
422.062631578947,1.04889127135308 + 23.6637769740407i,0.853435565440219 + 3.95131091515532i
456.053684210526,1.086542257551 + 23.5734656440193i,0.864693546106468 + 3.91736729547171i
490.044736842105,1.11918752276142 + 23.6380214687406i,0.889027537433051 + 3.90954115975716i
524.035789473684,1.15831901777173 + 23.5802971658348i,0.900149278991634 + 3.88594345506626i
558.026842105263,1.17605609509691 + 23.5182793470944i,0.904460332838804 + 3.86846438517451i
592.017894736842,1.21969826869002 + 23.6002795778433i,0.922677283780771 + 3.87097783203551i
